,Date,Open
1,"Jul 15, 2019",10257.84
2,"Jul 14, 2019",11381.02
3,"Jul 13, 2019",11813.13
4,"Jul 12, 2019",11354.3
5,"Jul 11, 2019",12139.71
6,"Jul 10, 2019",12571.54
7,"Jul 09, 2019",12284.33
8,"Jul 08, 2019",11446.6
9,"Jul 07, 2019",11217.62
10,"Jul 06, 2019",10982.54
11,"Jul 05, 2019",11203.1
12,"Jul 04, 2019",11972.72
13,"Jul 03, 2019",10818.16
14,"Jul 02, 2019",10588.68
15,"Jul 01, 2019",10796.93
16,"Jun 30, 2019",11931.99
17,"Jun 29, 2019",12400.76
18,"Jun 28, 2019",11162.17
19,"Jun 27, 2019",13017.12
20,"Jun 26, 2019",11778.58
21,"Jun 25, 2019",11007.2
22,"Jun 24, 2019",10853.74
23,"Jun 23, 2019",10696.69
24,"Jun 22, 2019",10175.92
25,"Jun 21, 2019",9525.07
26,"Jun 20, 2019",9273.06
27,"Jun 19, 2019",9078.73
28,"Jun 18, 2019",9335.47
29,"Jun 17, 2019",8988.92
30,"Jun 16, 2019",8841.44
31,"Jun 15, 2019",8689.75
32,"Jun 14, 2019",8230.9
33,"Jun 13, 2019",8145.55
34,"Jun 12, 2019",7925.43
35,"Jun 11, 2019",8004.24
36,"Jun 10, 2019",7692.28
37,"Jun 09, 2019",7949.67
38,"Jun 08, 2019",8036.77
39,"Jun 07, 2019",7826.9
40,"Jun 06, 2019",7819.63
41,"Jun 05, 2019",7704.34
42,"Jun 04, 2019",8210.99
43,"Jun 03, 2019",8741.75
44,"Jun 02, 2019",8565.47
45,"Jun 01, 2019",8573.84
46,"May 31, 2019",8320.29
47,"May 30, 2019",8661.76
48,"May 29, 2019",8718.59
49,"May 28, 2019",8802.76
50,"May 27, 2019",8674.07
51,"May 26, 2019",8055.21
52,"May 25, 2019",7991.89
53,"May 24, 2019",7881.7
54,"May 23, 2019",7677.27
55,"May 22, 2019",7956.29
56,"May 21, 2019",7977.97
57,"May 20, 2019",8196.92
58,"May 19, 2019",7267.96
59,"May 18, 2019",7341.66
60,"May 17, 2019",7886.93
61,"May 16, 2019",8194.5
62,"May 15, 2019",7989.37
63,"May 14, 2019",7807.88
64,"May 13, 2019",6971.18
65,"May 12, 2019",7203.51
66,"May 11, 2019",6379.67
67,"May 10, 2019",6175.82
68,"May 09, 2019",5982.32
69,"May 08, 2019",5849.48
70,"May 07, 2019",5745.6
71,"May 06, 2019",5791.69
72,"May 05, 2019",5831.07
73,"May 04, 2019",5769.2
74,"May 03, 2019",5505.55
75,"May 02, 2019",5402.42
76,"May 01, 2019",5350.91
77,"Apr 30, 2019",5247.73
78,"Apr 29, 2019",5284.86
79,"Apr 28, 2019",5271.75
80,"Apr 27, 2019",5279.47
81,"Apr 26, 2019",5210.3
82,"Apr 25, 2019",5466.52
83,"Apr 24, 2019",5571.51
84,"Apr 23, 2019",5399.37
85,"Apr 22, 2019",5312.49
86,"Apr 21, 2019",5335.88
87,"Apr 20, 2019",5304.16
88,"Apr 19, 2019",5298.15
89,"Apr 18, 2019",5251.48
90,"Apr 17, 2019",5236.14
91,"Apr 16, 2019",5066.58
92,"Apr 15, 2019",5167.32
93,"Apr 14, 2019",5095.76
94,"Apr 13, 2019",5088.85
95,"Apr 12, 2019",5061.2
96,"Apr 11, 2019",5325.08
97,"Apr 10, 2019",5204.11
98,"Apr 09, 2019",5289.92
99,"Apr 08, 2019",5199.84
100,"Apr 07, 2019",5062.79
101,"Apr 06, 2019",5036.79
102,"Apr 05, 2019",4922.81
103,"Apr 04, 2019",4971.31
104,"Apr 03, 2019",4879.96
105,"Apr 02, 2019",4156.92
106,"Apr 01, 2019",4105.36
107,"Mar 31, 2019",4105.46
108,"Mar 30, 2019",4092.14
109,"Mar 29, 2019",4068.3
110,"Mar 28, 2019",4087.58
111,"Mar 27, 2019",3984.24
112,"Mar 26, 2019",3969.23
113,"Mar 25, 2019",4024.11
114,"Mar 24, 2019",4035.16
115,"Mar 23, 2019",4022.71
116,"Mar 22, 2019",4028.51
117,"Mar 21, 2019",4083.95
118,"Mar 20, 2019",4070.79
119,"Mar 19, 2019",4032.69
120,"Mar 18, 2019",4029.97
121,"Mar 17, 2019",4047.72
122,"Mar 16, 2019",3963.9
123,"Mar 15, 2019",3926.66
124,"Mar 14, 2019",3905.58
125,"Mar 13, 2019",3913.05
126,"Mar 12, 2019",3903.76
127,"Mar 11, 2019",3953.74
128,"Mar 10, 2019",3966.17
129,"Mar 09, 2019",3894.55
130,"Mar 08, 2019",3913.23
131,"Mar 07, 2019",3903.38
132,"Mar 06, 2019",3897.08
133,"Mar 05, 2019",3759.83
134,"Mar 04, 2019",3845.09
135,"Mar 03, 2019",3862.27
136,"Mar 02, 2019",3855.32
137,"Mar 01, 2019",3853.76
138,"Feb 28, 2019",3848.26
139,"Feb 27, 2019",3857.48
140,"Feb 26, 2019",3878.7
141,"Feb 25, 2019",3807
142,"Feb 24, 2019",4145.46
143,"Feb 23, 2019",3998.92
144,"Feb 22, 2019",3952.41
145,"Feb 21, 2019",4000.26
146,"Feb 20, 2019",3946.68
147,"Feb 19, 2019",3911.66
148,"Feb 18, 2019",3671.37
149,"Feb 17, 2019",3633.36
150,"Feb 16, 2019",3615.27
151,"Feb 15, 2019",3617.37
152,"Feb 14, 2019",3631.17
153,"Feb 13, 2019",3653.6
154,"Feb 12, 2019",3642.75
155,"Feb 11, 2019",3695.61
156,"Feb 10, 2019",3673.2
157,"Feb 09, 2019",3671.59
158,"Feb 08, 2019",3401.38
159,"Feb 07, 2019",3414.93
160,"Feb 06, 2019",3469.09
161,"Feb 05, 2019",3454.95
162,"Feb 04, 2019",3467.21
163,"Feb 03, 2019",3516.14
164,"Feb 02, 2019",3484.63
165,"Feb 01, 2019",3460.55
166,"Jan 31, 2019",3485.41
167,"Jan 30, 2019",3443.9
168,"Jan 29, 2019",3468.87
169,"Jan 28, 2019",3584.28
170,"Jan 27, 2019",3604.69
171,"Jan 26, 2019",3599.72
172,"Jan 25, 2019",3607.39
173,"Jan 24, 2019",3584.5
174,"Jan 23, 2019",3605.56
175,"Jan 22, 2019",3575.08
176,"Jan 21, 2019",3600.37
177,"Jan 20, 2019",3725.45
178,"Jan 19, 2019",3652.38
179,"Jan 18, 2019",3677.99
180,"Jan 17, 2019",3651.87
181,"Jan 16, 2019",3631.51
182,"Jan 15, 2019",3704.22
183,"Jan 14, 2019",3557.31
184,"Jan 13, 2019",3658.87
185,"Jan 12, 2019",3686.97
186,"Jan 11, 2019",3674.02
187,"Jan 10, 2019",4034.41
188,"Jan 09, 2019",4031.55
189,"Jan 08, 2019",4028.47
190,"Jan 07, 2019",4078.59
191,"Jan 06, 2019",3836.52
192,"Jan 05, 2019",3851.97
193,"Jan 04, 2019",3832.04
194,"Jan 03, 2019",3931.05
195,"Jan 02, 2019",3849.22
196,"Jan 01, 2019",3746.71
197,"Dec 31, 2018",3866.84
198,"Dec 30, 2018",3822.38
199,"Dec 29, 2018",3932.49
200,"Dec 28, 2018",3653.13
201,"Dec 27, 2018",3854.69
202,"Dec 26, 2018",3819.67
203,"Dec 25, 2018",4081.03
204,"Dec 24, 2018",4000.33
205,"Dec 23, 2018",4020.99
206,"Dec 22, 2018",3898.08
207,"Dec 21, 2018",4133.7
208,"Dec 20, 2018",3742.2
209,"Dec 19, 2018",3706.82
210,"Dec 18, 2018",3544.76
211,"Dec 17, 2018",3253.12
212,"Dec 16, 2018",3236.27
213,"Dec 15, 2018",3244
214,"Dec 14, 2018",3311.75
215,"Dec 13, 2018",3487.88
216,"Dec 12, 2018",3421.46
217,"Dec 11, 2018",3497.55
218,"Dec 10, 2018",3612.05
219,"Dec 09, 2018",3473.23
220,"Dec 08, 2018",3421.91
221,"Dec 07, 2018",3512.59
222,"Dec 06, 2018",3754.07
223,"Dec 05, 2018",3958.89
224,"Dec 04, 2018",3886.29
225,"Dec 03, 2018",4147.32
226,"Dec 02, 2018",4200.73
227,"Dec 01, 2018",4024.46
228,"Nov 30, 2018",4289.09
229,"Nov 29, 2018",4269
230,"Nov 28, 2018",3822.47
231,"Nov 27, 2018",3765.95
232,"Nov 26, 2018",4015.07
233,"Nov 25, 2018",3880.78
234,"Nov 24, 2018",4347.69
235,"Nov 23, 2018",4360.7
236,"Nov 22, 2018",4611.57
237,"Nov 21, 2018",4465.54
238,"Nov 20, 2018",4863.93
239,"Nov 19, 2018",5620.78
240,"Nov 18, 2018",5559.74
241,"Nov 17, 2018",5578.58
242,"Nov 16, 2018",5645.32
243,"Nov 15, 2018",5736.15
244,"Nov 14, 2018",6351.24
245,"Nov 13, 2018",6373.19
246,"Nov 12, 2018",6411.76
247,"Nov 11, 2018",6413.63
248,"Nov 10, 2018",6386.13
249,"Nov 09, 2018",6442.6
250,"Nov 08, 2018",6522.27
251,"Nov 07, 2018",6468.5
252,"Nov 06, 2018",6433.38
253,"Nov 05, 2018",6363.62
254,"Nov 04, 2018",6365.47
255,"Nov 03, 2018",6387.24
256,"Nov 02, 2018",6378.92
257,"Nov 01, 2018",6318.14
258,"Oct 31, 2018",6336.99
259,"Oct 30, 2018",6337.04
260,"Oct 29, 2018",6492.35
261,"Oct 28, 2018",6482.66
262,"Oct 27, 2018",6480.84
263,"Oct 26, 2018",6468.44
264,"Oct 25, 2018",6484.65
265,"Oct 24, 2018",6478.89
